Alter;Geschlecht;Einkommen;Internet_Affinit‰t;Dating_App;Partnersuche;Wohngegend
44;m;122822;5;yes;yes;Vorstadt
43;w;118063;5;yes;yes;Vorstadt
43;m;131165;5;yes;yes;Kleinstadt
43;m;104918;5;no;yes;Vorstadt
44;m;81929;5;yes;yes;Vorstadt
42;m;98507;5;yes;yes;Vorstadt
42;w;114921;6;yes;yes;Vorstadt
41;m;92122;5;yes;yes;Vorstadt
42;m;82064;5;yes;yes;Vorstadt
42;m;82180;5;no;no;Kleinstadt
42;m;111469;5;yes;yes;Vorstadt
42;m;102214;5;yes;yes;Vorstadt
42;m;116998;5;yes;yes;Vorstadt
43;m;102094;5;yes;yes;Vorstadt
41;m;112079;5;yes;yes;Vorstadt
41;m;108852;5;yes;yes;Land
42;m;120808;6;yes;yes;Vorstadt
42;m;103679;5;yes;yes;Vorstadt
42;m;81881;5;yes;yes;Vorstadt
44;m;118182;5;yes;yes;Vorstadt
41;m;129710;5;yes;yes;Vorstadt
42;m;119062;5;yes;yes;Vorstadt
43;m;112188;4;no;yes;Vorstadt
42;m;101729;5;yes;yes;Vorstadt
42;m;79495;6;yes;no;Land
43;m;99287;5;yes;yes;Vorstadt
43;m;109498;5;yes;yes;Vorstadt
41;m;101983;5;yes;yes;Vorstadt
43;m;97704;6;yes;yes;Vorstadt
42;m;110380;6;yes;yes;Vorstadt
41;m;113357;5;yes;yes;Vorstadt
42;m;89620;5;yes;yes;Vorstadt
42;m;89915;5;yes;yes;Land
41;m;100276;4;yes;yes;Vorstadt
42;m;110253;4;yes;yes;Vorstadt
42;m;92068;5;yes;yes;Vorstadt
41;m;62130;4;yes;yes;Vorstadt
45;m;109289;5;yes;yes;Vorstadt
41;m;145197;6;yes;yes;Vorstadt
44;w;91438;5;yes;yes;Land
41;m;102275;4;yes;yes;Vorstadt
41;m;75751;5;yes;yes;Vorstadt
41;m;79527;5;no;yes;Vorstadt
41;m;100953;4;no;yes;Vorstadt
41;m;68366;4;yes;yes;Vorstadt
42;m;64713;5;yes;no;Vorstadt
40;m;84067;4;yes;yes;Vorstadt
42;m;95700;5;yes;yes;Vorstadt
42;w;114163;5;yes;yes;Vorstadt
43;w;89652;4;yes;yes;Vorstadt
44;m;95959;5;yes;yes;Vorstadt
42;m;102321;6;yes;yes;Land
43;m;106595;6;yes;yes;Vorstadt
42;m;62765;5;yes;yes;Vorstadt
42;m;70793;5;yes;yes;Vorstadt
43;m;108008;5;yes;yes;Vorstadt
42;m;96984;6;yes;yes;Vorstadt
43;m;83346;5;yes;yes;Vorstadt
42;m;80904;5;yes;no;Vorstadt
43;m;80767;6;yes;yes;Vorstadt
42;m;100087;5;yes;yes;Vorstadt
41;m;121023;5;yes;yes;Kleinstadt
42;m;84416;5;yes;yes;Vorstadt
42;m;77474;5;no;yes;Vorstadt
42;m;98049;6;yes;yes;Vorstadt
43;m;77510;4;no;no;Groﬂstadt
42;w;66681;6;no;yes;Vorstadt
42;m;81962;5;no;yes;Vorstadt
44;m;102845;5;yes;yes;Vorstadt
42;m;80677;5;no;yes;Vorstadt
43;m;105742;5;yes;yes;Vorstadt
42;m;119087;5;yes;yes;Land
42;w;54547;5;yes;yes;Vorstadt
42;m;126350;5;yes;yes;Vorstadt
42;m;47515;5;yes;yes;Vorstadt
41;m;102431;5;yes;yes;Vorstadt
43;m;122474;5;yes;yes;Vorstadt
41;m;92126;4;yes;yes;Land
40;m;104390;5;no;yes;Vorstadt
42;m;95073;5;yes;yes;Land
41;w;115279;5;yes;yes;Vorstadt
42;m;66497;5;yes;yes;Vorstadt
60;w;56285;1;no;no;Vorstadt
61;w;47312;0;no;no;Vorstadt
60;w;32663;1;no;no;Vorstadt
63;w;107592;1;no;no;Vorstadt
59;w;91072;1;no;no;Vorstadt
61;w;66402;2;no;no;Land
59;w;87767;0;yes;no;Vorstadt
59;w;59624;1;yes;no;Vorstadt
60;w;61012;2;no;yes;Vorstadt
60;w;31124;2;no;no;Vorstadt
60;w;65014;1;no;no;Vorstadt
60;w;79149;1;no;no;Vorstadt
59;w;69397;0;no;no;Vorstadt
60;w;98016;1;no;no;Vorstadt
61;w;33891;1;yes;no;Groﬂstadt
60;w;68293;1;no;yes;Vorstadt
59;w;41116;0;no;no;Vorstadt
58;w;85449;2;yes;no;Land
60;w;64741;1;no;no;Vorstadt
60;w;63535;1;no;no;Vorstadt
59;w;52553;1;no;no;Land
61;w;44224;1;no;no;Vorstadt
59;w;35695;1;yes;no;Kleinstadt
59;w;72946;0;no;no;Vorstadt
61;w;35644;1;no;no;Vorstadt
59;w;61183;1;yes;no;Vorstadt
61;w;49437;0;no;yes;Vorstadt
60;w;46138;1;no;no;Vorstadt
60;w;81303;0;no;no;Vorstadt
60;w;66474;1;no;no;Vorstadt
61;w;77766;1;no;no;Kleinstadt
62;w;60711;1;no;no;Land
60;m;24108;0;no;yes;Vorstadt
60;m;69008;0;no;yes;Vorstadt
60;w;54940;1;no;no;Vorstadt
60;m;75752;1;no;no;Kleinstadt
60;w;68557;1;no;no;Vorstadt
60;m;35331;1;no;no;Vorstadt
61;w;86927;0;no;no;Vorstadt
62;w;44265;0;no;no;Vorstadt
61;m;88445;0;no;no;Vorstadt
58;w;16622;3;no;no;Vorstadt
60;w;83010;1;no;no;Vorstadt
61;w;104647;0;no;no;Vorstadt
62;w;44869;1;no;yes;Vorstadt
59;w;81535;1;no;no;Vorstadt
62;w;28858;1;no;no;Vorstadt
61;w;43705;1;yes;no;Land
60;w;27512;1;no;no;Vorstadt
59;w;49756;0;no;no;Vorstadt
60;w;39805;1;yes;no;Land
60;w;52341;1;no;no;Vorstadt
58;w;87550;0;no;no;Vorstadt
59;w;85739;0;no;no;Vorstadt
61;w;24487;1;no;yes;Vorstadt
62;w;78537;0;no;no;Vorstadt
60;w;25799;1;no;yes;Vorstadt
59;w;63944;1;no;no;Vorstadt
60;w;67694;0;no;no;Vorstadt
60;w;76553;1;no;no;Vorstadt
61;w;61869;1;no;no;Kleinstadt
59;w;45364;0;no;no;Vorstadt
59;w;80077;1;no;no;Vorstadt
60;w;50180;1;yes;no;Vorstadt
59;w;66263;1;no;no;Vorstadt
60;w;48743;1;no;yes;Vorstadt
60;w;61186;0;no;no;Vorstadt
60;w;61482;0;no;yes;Vorstadt
58;w;57914;0;no;no;Vorstadt
60;w;62001;0;no;yes;Groﬂstadt
59;w;50784;1;no;no;Land
59;w;64855;0;no;yes;Land
61;w;82510;1;no;no;Kleinstadt
59;w;56195;1;no;no;Vorstadt
57;m;96081;0;no;no;Vorstadt
59;w;52770;1;no;no;Vorstadt
61;w;52532;1;no;no;Land
60;w;65586;2;no;no;Vorstadt
59;w;71164;0;no;no;Vorstadt
60;w;47947;2;no;no;Vorstadt
58;w;47616;1;no;no;Land
58;w;46361;0;no;no;Land
59;w;85746;0;no;no;Land
59;w;93309;1;yes;no;Vorstadt
60;w;61093;0;no;no;Vorstadt
59;w;68236;1;no;yes;Kleinstadt
60;w;56404;1;no;no;Groﬂstadt
59;w;39147;2;no;no;Vorstadt
59;w;76483;1;yes;no;Vorstadt
60;w;29175;1;no;no;Land
61;w;30533;1;no;yes;Vorstadt
59;w;64645;1;no;no;Vorstadt
60;w;76680;2;yes;yes;Vorstadt
62;w;77420;1;no;no;Land
59;w;63379;1;no;yes;Vorstadt
60;w;84218;1;no;no;Vorstadt
59;w;54869;0;no;yes;Vorstadt
61;w;96214;0;yes;no;Vorstadt
58;w;60750;0;no;no;Vorstadt
60;m;44343;0;no;no;Vorstadt
61;w;93845;1;no;no;Vorstadt
60;m;88593;1;no;no;Vorstadt
61;m;55449;0;no;no;Vorstadt
59;w;68370;1;no;yes;Vorstadt
59;w;36037;0;no;yes;Vorstadt
59;w;57639;0;no;no;Vorstadt
60;m;67104;0;no;no;Vorstadt
60;w;63166;1;yes;no;Vorstadt
59;m;66198;1;no;no;Groﬂstadt
60;w;52077;2;yes;yes;Kleinstadt
60;m;67347;0;no;no;Vorstadt
60;w;68265;1;no;no;Vorstadt
59;w;13103;0;no;no;Vorstadt
61;w;53228;1;yes;no;Land
59;w;46826;2;no;no;Vorstadt
60;w;74524;0;no;no;Vorstadt
60;w;34206;2;no;yes;Groﬂstadt
60;w;34646;1;no;yes;Vorstadt
60;w;90235;0;no;no;Vorstadt
61;w;49940;0;no;no;Vorstadt
60;w;72486;0;no;no;Vorstadt
60;m;44863;1;no;no;Vorstadt
60;w;47305;1;no;no;Vorstadt
60;w;77443;1;no;no;Vorstadt
60;w;63030;1;no;no;Vorstadt
58;w;70750;2;no;no;Land
60;m;91834;3;no;no;Vorstadt
60;w;33771;0;no;no;Vorstadt
59;w;40516;2;no;yes;Vorstadt
60;w;57631;0;no;no;Vorstadt
60;w;54279;1;no;yes;Vorstadt
61;w;74200;0;no;no;Kleinstadt
58;w;98003;1;no;no;Vorstadt
59;w;83075;2;no;no;Vorstadt
59;w;51534;0;no;no;Vorstadt
59;w;80419;1;no;no;Vorstadt
59;w;59900;1;no;no;Vorstadt
61;w;61190;0;no;no;Vorstadt
60;m;52618;0;no;yes;Vorstadt
60;w;66486;2;no;no;Vorstadt
59;w;88044;0;no;no;Vorstadt
61;w;73301;1;no;no;Vorstadt
60;w;39865;1;no;yes;Vorstadt
59;w;66020;0;no;no;Vorstadt
61;w;46667;2;no;no;Land
58;w;72307;0;no;no;Vorstadt
61;w;66278;0;no;no;Vorstadt
60;w;75398;1;no;no;Vorstadt
59;w;88605;0;no;no;Vorstadt
59;w;42959;1;no;no;Vorstadt
59;w;81051;0;no;yes;Vorstadt
58;w;51682;1;no;no;Dorf
60;w;50429;0;no;no;Vorstadt
60;m;41399;1;no;no;Vorstadt
59;w;119610;0;no;no;Vorstadt
61;w;68930;1;no;no;Vorstadt
61;w;53736;2;no;no;Land
59;w;79167;1;no;no;Vorstadt
61;w;57237;1;no;no;Land
60;w;41386;2;no;no;Vorstadt
61;w;21799;1;no;no;Vorstadt
61;w;86136;0;no;no;Vorstadt
60;w;50863;1;yes;yes;Kleinstadt
60;w;84764;0;no;no;Vorstadt
58;w;37274;0;no;no;Kleinstadt
60;w;49909;0;no;no;Vorstadt
61;w;70032;0;no;no;Kleinstadt
60;w;77202;1;no;no;Kleinstadt
60;m;61332;2;no;no;Vorstadt
59;w;56954;2;no;no;Vorstadt
60;w;63112;1;yes;no;Dorf
60;w;52484;1;no;no;Dorf
60;w;65988;0;no;no;Dorf
61;w;46037;0;no;no;Land
62;w;67088;1;no;no;Vorstadt
61;w;46373;1;no;no;Vorstadt
60;w;70163;0;yes;no;Vorstadt
60;w;54143;1;no;no;Vorstadt
61;w;80117;1;no;no;Vorstadt
61;w;76176;1;no;no;Vorstadt
61;w;53885;1;no;no;Groﬂstadt
60;m;55318;1;no;no;Vorstadt
58;m;22359;1;no;no;Vorstadt
61;w;34219;1;no;no;Kleinstadt
60;w;74090;1;yes;no;Vorstadt
59;w;62621;3;no;no;Vorstadt
59;w;6779;1;no;no;Vorstadt
60;m;65221;0;no;no;Kleinstadt
60;w;78769;1;no;yes;Kleinstadt
62;w;72179;0;no;no;Vorstadt
59;w;58901;0;no;no;Vorstadt
59;w;29225;1;no;no;Vorstadt
60;w;68540;1;no;no;Vorstadt
61;w;98148;1;no;no;Vorstadt
59;w;76346;0;no;no;Vorstadt
59;w;48645;1;no;yes;Vorstadt
60;w;32957;1;no;no;Vorstadt
61;w;57906;1;no;no;Dorf
59;w;60394;2;no;no;Vorstadt
61;w;92477;1;no;no;Vorstadt
61;w;50807;0;no;yes;Vorstadt
61;w;83920;0;yes;yes;Vorstadt
61;w;73493;0;no;no;Land
60;w;68369;0;no;no;Vorstadt
61;w;51604;1;no;no;Vorstadt
59;m;55763;1;no;no;Land
59;w;63186;0;no;yes;Vorstadt
62;w;74275;0;no;no;Land
59;w;71644;2;no;no;Kleinstadt
60;w;61217;0;no;no;Vorstadt
58;w;59841;1;no;no;Vorstadt
61;w;80862;1;no;no;Vorstadt
61;w;80266;0;no;no;Dorf
60;m;22006;1;yes;no;Vorstadt
62;w;73329;2;no;no;Vorstadt
61;w;70203;0;no;no;Land
59;w;75497;1;no;no;Vorstadt
59;w;62573;1;no;no;Vorstadt
60;w;50190;0;no;no;Vorstadt
60;w;102082;2;no;no;Vorstadt
61;w;95222;1;no;no;Kleinstadt
58;w;48010;1;yes;no;Vorstadt
60;w;53599;1;no;no;Groﬂstadt
61;w;34786;2;no;no;Vorstadt
60;w;48759;0;no;no;Dorf
60;w;48923;1;no;no;Vorstadt
60;m;56875;0;no;no;Land
60;w;60188;1;yes;yes;Vorstadt
61;w;94041;2;no;no;Vorstadt
60;w;86726;1;no;no;Groﬂstadt
61;w;81452;0;no;no;Vorstadt
61;w;51314;1;yes;no;Vorstadt
62;w;62808;1;no;no;Vorstadt
59;m;70147;0;no;yes;Vorstadt
59;w;64114;1;no;no;Vorstadt
61;w;26099;2;no;no;Vorstadt
62;w;44769;0;no;no;Vorstadt
60;w;53333;0;no;yes;Vorstadt
59;m;68424;2;no;no;Vorstadt
60;w;47027;0;no;no;Land
59;w;81072;0;no;no;Dorf
59;w;62682;0;no;no;Groﬂstadt
58;w;47972;0;no;no;Vorstadt
60;w;38858;1;no;no;Kleinstadt
60;w;70896;0;no;no;Vorstadt
60;m;79534;1;no;no;Vorstadt
61;w;55318;1;no;yes;Vorstadt
60;w;54672;2;no;no;Vorstadt
60;w;83937;0;no;no;Vorstadt
59;w;55547;0;no;no;Vorstadt
30;m;38835;6;no;no;Vorstadt
31;m;32221;4;no;no;Vorstadt
32;m;29457;5;no;no;Kleinstadt
32;m;41813;4;no;no;Kleinstadt
31;m;41001;5;no;no;Groﬂstadt
30;m;44491;5;yes;no;Vorstadt
29;m;40184;5;no;yes;Vorstadt
31;m;25580;5;no;yes;Kleinstadt
29;m;45394;5;yes;no;Kleinstadt
30;m;34481;5;no;no;Vorstadt
30;m;42716;6;yes;no;Kleinstadt
31;m;47172;4;no;no;Vorstadt
29;w;35384;5;no;yes;Kleinstadt
30;m;29070;6;no;no;Kleinstadt
30;m;42237;5;no;no;Kleinstadt
30;m;63576;5;no;no;Kleinstadt
30;w;21044;6;no;no;Kleinstadt
29;m;47431;5;no;no;Land
31;m;37932;5;no;no;Land
29;m;58871;6;no;no;Kleinstadt
32;m;43064;6;no;no;Kleinstadt
30;m;40026;5;no;no;Kleinstadt
31;m;42779;4;no;no;Kleinstadt
31;m;9862;4;yes;no;Vorstadt
31;m;39378;5;no;yes;Kleinstadt
31;m;34983;4;no;no;Vorstadt
29;m;30641;5;no;no;Kleinstadt
30;m;40363;5;no;no;Kleinstadt
32;m;38114;6;yes;no;Vorstadt
31;m;45227;6;no;no;Kleinstadt
29;m;50177;6;no;no;Kleinstadt
29;m;41985;5;no;no;Kleinstadt
29;m;36700;6;no;no;Vorstadt
32;m;43256;5;no;no;Kleinstadt
32;m;47598;5;no;no;Kleinstadt
30;w;46650;6;no;no;Kleinstadt
30;m;38200;5;no;no;Kleinstadt
30;m;32194;5;no;no;Kleinstadt
30;m;43083;5;no;no;Kleinstadt
31;w;52006;5;no;no;Kleinstadt
30;m;26963;5;no;no;Kleinstadt
28;m;45997;5;no;no;Kleinstadt
31;m;45916;5;no;no;Kleinstadt
31;m;40855;6;yes;no;Kleinstadt
31;m;44865;5;no;no;Kleinstadt
31;m;40533;5;no;no;Kleinstadt
30;m;56554;5;no;no;Kleinstadt
30;m;46121;5;no;no;Kleinstadt
29;m;47307;5;yes;no;Kleinstadt
30;w;36147;5;no;yes;Land
31;m;36517;5;no;no;Land
30;w;42187;5;no;no;Kleinstadt
30;m;55142;4;no;no;Kleinstadt
30;m;60618;4;no;no;Kleinstadt
30;m;43328;5;no;yes;Kleinstadt
31;w;41093;4;no;no;Land
30;m;37828;5;no;no;Land
30;m;48524;5;no;no;Kleinstadt
31;m;43207;5;no;no;Vorstadt
30;m;34622;5;no;no;Kleinstadt
30;m;38891;5;yes;no;Kleinstadt
30;w;32148;5;no;no;Kleinstadt
33;m;38055;6;no;no;Kleinstadt
30;m;37635;4;no;no;Kleinstadt
30;m;36105;5;no;no;Kleinstadt
30;m;43494;4;no;no;Groﬂstadt
28;m;55525;5;yes;no;Kleinstadt
28;m;51034;5;no;no;Kleinstadt
31;m;52010;5;no;no;Vorstadt
30;m;44407;5;no;no;Kleinstadt
30;m;36411;4;no;no;Kleinstadt
30;m;33717;5;yes;yes;Vorstadt
32;m;35617;6;no;no;Kleinstadt
31;m;33304;4;no;no;Kleinstadt
30;m;36701;5;no;no;Kleinstadt
31;m;57161;4;no;no;Kleinstadt
32;m;50730;5;no;no;Kleinstadt
32;m;45065;6;yes;no;Kleinstadt
30;m;55301;5;no;no;Vorstadt
29;m;30834;5;no;no;Kleinstadt
28;m;56984;6;no;no;Kleinstadt
32;m;47399;5;no;no;Kleinstadt
31;m;34809;5;no;no;Vorstadt
30;w;14492;5;no;yes;Kleinstadt
30;m;47237;5;no;no;Groﬂstadt
29;m;46017;5;no;no;Kleinstadt
28;m;62808;5;no;no;Kleinstadt
28;w;33582;4;yes;no;Vorstadt
30;m;39061;5;no;no;Kleinstadt
29;m;47951;5;no;no;Dorf
31;m;37695;5;no;no;Land
33;m;43987;5;no;no;Groﬂstadt
29;m;30932;4;no;no;Land
29;w;32995;5;no;no;Kleinstadt
29;m;39573;6;no;no;Kleinstadt
30;m;42083;6;no;no;Kleinstadt
31;m;28756;4;no;no;Land
30;m;44522;5;no;no;Kleinstadt
31;m;48940;6;no;no;Kleinstadt
28;m;40883;4;no;no;Kleinstadt
31;m;47713;5;no;no;Vorstadt
31;m;48470;4;no;no;Kleinstadt
30;m;31552;5;no;no;Kleinstadt
30;m;28965;5;no;no;Land
31;m;51566;5;no;no;Kleinstadt
30;m;35001;5;yes;no;Kleinstadt
29;m;49082;5;no;no;Kleinstadt
32;m;28697;5;no;no;Land
31;m;39458;5;no;no;Kleinstadt
28;m;50797;5;no;yes;Kleinstadt
32;m;37788;6;no;no;Kleinstadt
30;m;43305;6;no;no;Land
31;m;42837;5;no;no;Land
30;m;38770;5;no;no;Kleinstadt
32;m;17206;5;no;no;Kleinstadt
31;m;41526;5;no;no;Kleinstadt
29;m;60727;5;no;no;Kleinstadt
30;m;40163;4;no;no;Kleinstadt
29;w;54020;4;no;no;Kleinstadt
31;m;10538;5;no;yes;Land
30;w;45879;5;no;no;Kleinstadt
29;m;45251;4;yes;no;Kleinstadt
29;m;25150;6;no;no;Vorstadt
30;m;43921;5;no;no;Kleinstadt
30;m;43845;5;no;no;Kleinstadt
30;m;29617;5;no;no;Groﬂstadt
31;m;27454;5;no;no;Kleinstadt
31;w;48406;5;no;no;Kleinstadt
29;m;25410;5;no;no;Vorstadt
31;m;33805;5;no;no;Kleinstadt
31;w;33045;5;no;no;Kleinstadt
29;m;31615;6;no;no;Kleinstadt
29;m;41676;4;no;no;Kleinstadt
31;m;25752;4;no;no;Kleinstadt
29;m;41817;5;no;no;Kleinstadt
28;m;50204;4;no;yes;Vorstadt
31;m;28953;5;no;no;Kleinstadt
29;m;53981;5;no;no;Kleinstadt
30;m;35092;5;no;no;Kleinstadt
30;m;33905;5;no;no;Groﬂstadt
31;m;44321;6;no;no;Groﬂstadt
29;m;37272;5;no;no;Land
30;w;36937;5;no;no;Land
30;m;38439;6;no;no;Kleinstadt
30;m;38002;6;no;no;Kleinstadt
31;m;53660;5;yes;no;Kleinstadt
30;m;34240;5;no;yes;Kleinstadt
33;m;44479;5;no;no;Kleinstadt
30;m;27628;6;no;no;Kleinstadt
29;m;41184;5;no;no;Kleinstadt
30;m;42217;4;no;no;Kleinstadt
30;w;37608;6;no;no;Kleinstadt
30;m;29832;5;yes;no;Kleinstadt
29;m;24971;5;yes;no;Vorstadt
28;m;36536;5;no;no;Land
29;m;37871;5;no;no;Vorstadt
31;m;15765;5;no;yes;Kleinstadt
29;m;42513;5;no;no;Land
30;m;34043;5;no;no;Kleinstadt
29;m;25889;5;no;no;Kleinstadt
29;m;28578;5;no;no;Kleinstadt
30;m;33057;5;no;no;Kleinstadt
30;m;32090;6;no;no;Kleinstadt
28;m;43161;4;no;no;Dorf
31;m;49084;4;no;no;Land
29;m;37610;5;no;no;Kleinstadt
29;m;38601;6;no;no;Kleinstadt
29;m;32619;5;yes;no;Kleinstadt
30;m;31834;6;no;no;Groﬂstadt
29;w;37726;4;no;no;Kleinstadt
30;m;57853;4;no;no;Kleinstadt
30;m;46886;4;no;no;Kleinstadt
29;m;17932;6;no;no;Kleinstadt
31;m;39803;6;no;no;Kleinstadt
30;m;27008;5;no;no;Kleinstadt
31;m;46867;4;no;no;Land
29;m;53940;5;no;no;Kleinstadt
29;m;13136;6;no;yes;Kleinstadt
30;w;32571;4;no;no;Land
30;m;48971;5;yes;no;Kleinstadt
32;w;21276;6;no;no;Kleinstadt
30;m;37582;5;no;no;Kleinstadt
31;m;37423;5;no;no;Dorf
28;m;58424;5;no;yes;Kleinstadt
32;m;15879;5;yes;no;Kleinstadt
30;m;43727;5;yes;no;Land
30;m;31622;5;no;no;Kleinstadt
31;m;32378;5;no;no;Kleinstadt
31;m;45370;5;no;no;Kleinstadt
29;m;39819;5;no;no;Land
29;m;46530;5;no;no;Kleinstadt
30;m;33495;6;no;no;Dorf
31;w;49131;5;no;no;Kleinstadt
29;m;37511;6;no;no;Kleinstadt
29;m;57527;5;no;no;Kleinstadt
30;m;31326;5;no;no;Vorstadt
31;m;35717;5;no;no;Vorstadt
30;m;36303;5;no;yes;Kleinstadt
31;m;29149;6;yes;no;Kleinstadt
30;m;32602;5;no;no;Kleinstadt
30;m;43945;5;no;no;Land
31;m;58642;4;no;no;Kleinstadt
30;m;39195;5;no;no;Kleinstadt
29;m;46012;5;no;yes;Kleinstadt
29;m;25196;6;no;no;Kleinstadt
30;m;32402;5;no;no;Kleinstadt
31;m;40631;4;no;no;Groﬂstadt
29;m;46708;5;no;no;Kleinstadt
28;m;48933;6;no;no;Kleinstadt
32;m;31008;4;no;no;Kleinstadt
31;m;38480;5;no;no;Kleinstadt
29;m;42612;5;no;no;Kleinstadt
30;m;46875;5;yes;yes;Kleinstadt
32;m;15218;6;no;no;Vorstadt
33;m;40040;5;yes;no;Kleinstadt
30;m;57424;4;no;no;Land
29;m;60997;5;yes;no;Kleinstadt
29;w;42131;5;no;no;Kleinstadt
30;w;24146;6;no;no;Vorstadt
31;m;20760;5;no;yes;Vorstadt
30;m;50850;5;no;yes;Land
30;m;48117;6;yes;no;Vorstadt
30;m;39502;5;no;no;Kleinstadt
29;m;47064;5;yes;no;Kleinstadt
29;m;29028;5;no;no;Groﬂstadt
29;m;52459;5;no;no;Kleinstadt
31;m;23277;5;no;no;Kleinstadt
31;m;43245;6;no;no;Kleinstadt
30;m;42334;5;yes;yes;Kleinstadt
29;m;37252;5;yes;no;Kleinstadt
30;m;31570;5;yes;no;Kleinstadt
31;m;56826;5;yes;yes;Kleinstadt
31;m;42599;5;no;no;Vorstadt
29;m;31973;5;no;no;Kleinstadt
28;m;46800;5;no;yes;Kleinstadt
30;m;52362;5;no;no;Vorstadt
29;m;45090;5;no;no;Land
30;m;23765;4;no;no;Kleinstadt
30;m;39990;5;no;no;Land
30;m;37656;5;no;no;Kleinstadt
31;m;32165;4;no;no;Kleinstadt
29;m;40417;6;no;no;Kleinstadt
30;m;56888;6;no;yes;Kleinstadt
31;w;45522;5;no;no;Kleinstadt
30;m;32042;5;no;no;Kleinstadt
30;m;29184;5;no;no;Kleinstadt
29;m;52948;5;no;no;Kleinstadt
31;m;46044;5;no;yes;Kleinstadt
30;m;33554;6;no;no;Kleinstadt
31;m;41507;4;no;yes;Kleinstadt
30;w;399389;11;yes;yes;Dorf
30;w;397716;11;yes;yes;Kleinstadt
31;w;421856;11;yes;yes;Land
31;w;390297;11;no;yes;Vorstadt
32;w;406652;11;yes;yes;Kleinstadt
30;w;396215;11;yes;yes;Kleinstadt
29;w;393960;11;yes;yes;Kleinstadt
29;m;388963;11;yes;yes;Kleinstadt
30;w;373362;11;yes;yes;Groﬂstadt
31;w;412875;11;yes;yes;Vorstadt
29;m;396529;11;no;yes;Kleinstadt
32;w;354033;11;no;no;Kleinstadt
30;w;447882;11;no;yes;Land
32;w;404395;11;yes;yes;Vorstadt
30;w;390323;11;no;yes;Dorf
31;w;385111;11;yes;yes;Kleinstadt
31;w;425283;11;no;yes;Kleinstadt
31;w;415045;11;yes;yes;Kleinstadt
31;m;420112;11;yes;yes;Kleinstadt
28;w;392359;11;yes;yes;Kleinstadt
29;w;415112;11;yes;yes;Land
31;w;394196;11;yes;yes;Kleinstadt
29;w;398195;11;yes;no;Kleinstadt
31;w;418457;11;yes;yes;Land
33;w;403276;11;yes;no;Vorstadt
31;w;397012;11;yes;yes;Kleinstadt
30;w;368520;11;yes;yes;Kleinstadt
31;w;401711;11;yes;yes;Kleinstadt
30;w;430130;11;no;no;Kleinstadt
28;w;406232;11;yes;yes;Kleinstadt
29;m;391083;11;yes;yes;Land
31;w;389162;11;yes;yes;Kleinstadt
30;w;402844;11;yes;yes;Kleinstadt
28;w;389297;11;yes;yes;Vorstadt
30;w;405330;11;yes;yes;Kleinstadt
28;w;405362;11;yes;yes;Dorf
31;w;401300;11;yes;yes;Kleinstadt
29;w;415087;11;yes;yes;Kleinstadt
31;w;380212;11;yes;yes;Land
29;w;406575;11;yes;yes;Kleinstadt
30;w;442120;11;yes;no;Land
30;w;440434;11;yes;yes;Vorstadt
32;w;423911;11;yes;yes;Kleinstadt
29;m;396910;11;no;yes;Kleinstadt
30;w;439774;11;yes;yes;Land
31;w;398647;11;yes;yes;Kleinstadt
31;w;413381;11;yes;yes;Groﬂstadt
30;m;418379;11;yes;no;Vorstadt
31;w;402221;11;yes;yes;Kleinstadt
31;m;375958;11;no;yes;Vorstadt
30;w;399118;11;yes;yes;Dorf
31;w;394955;11;yes;yes;Kleinstadt
30;w;429215;11;yes;yes;Kleinstadt
31;m;408849;11;yes;yes;Kleinstadt
30;w;399139;11;yes;yes;Kleinstadt
28;w;405907;11;yes;yes;Kleinstadt
31;w;411766;11;yes;yes;Kleinstadt
30;w;407647;11;yes;yes;Land
30;w;334465;11;yes;yes;Vorstadt
29;w;428017;11;yes;yes;Kleinstadt
32;w;408442;11;yes;no;Kleinstadt
30;w;456659;11;yes;no;Land
32;w;396377;11;yes;yes;Kleinstadt
31;w;396013;11;yes;yes;Land
30;w;353189;11;yes;yes;Kleinstadt
30;w;413847;11;yes;yes;Kleinstadt
30;w;406569;11;yes;yes;Kleinstadt
30;w;400125;11;yes;yes;Kleinstadt
30;w;425399;11;yes;yes;Kleinstadt
30;w;421712;11;yes;yes;Kleinstadt
30;m;352381;11;yes;yes;Kleinstadt
29;m;434511;11;yes;yes;Kleinstadt
30;w;436172;11;yes;yes;Kleinstadt
30;w;399121;11;yes;yes;Kleinstadt
30;w;394717;11;yes;yes;Land
30;w;389146;11;no;yes;Vorstadt
31;w;373600;11;yes;no;Kleinstadt
29;w;401042;11;yes;yes;Kleinstadt
29;w;409153;11;yes;yes;Groﬂstadt
31;w;423891;11;yes;yes;Kleinstadt
29;w;362091;11;yes;no;Kleinstadt
29;w;418871;11;yes;yes;Kleinstadt
31;w;439849;11;yes;yes;Kleinstadt
30;w;410451;11;yes;yes;Kleinstadt
31;w;399835;11;yes;yes;Kleinstadt
30;w;397648;11;yes;yes;Kleinstadt
30;w;414100;11;yes;yes;Kleinstadt
31;w;403057;11;no;yes;Kleinstadt
29;w;374637;11;yes;yes;Kleinstadt
31;w;367616;11;yes;yes;Kleinstadt
30;w;381546;11;yes;yes;Vorstadt
31;w;380624;11;yes;yes;Kleinstadt
29;w;374518;11;yes;yes;Kleinstadt
29;w;398581;11;yes;yes;Kleinstadt
